0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,31
20,20,20,20,20,20,20,20,20,20,20,20,20,20,86,20,20,20,20,31,31
20,20,20,20,20,20,20,20,20,20,20,20,20,20,87,20,20,20,21,31,31
44,44,20,20,20,20,20,20,20,20,20,20,20,20,87,20,20,20,21,44,44
20,20,20,20,20,20,20,20,20,20,20,20,20,20,87,44,44,20,20,44,44
20,20,20,20,20,69,71,20,20,20,20,20,20,20,87,20,20,20,20,44,44
20,20,20,20,20,20,20,20,20,20,20,20,20,20,88,20,20,20,20,44,44
20,20,20,20,20,20,20,20,20,20,69,70,71,44,44,31,31,44,44,44,44
20,20,20,20,20,20,20,20,20,20,20,20,86,20,20,20,20,20,20,44,44
20,20,20,20,20,20,20,20,20,20,20,20,87,20,20,20,20,20,20,44,44
20,20,20,20,20,20,20,20,20,20,20,20,88,20,20,20,20,20,20,31,31
20,20,20,20,20,20,20,20,20,20,20,20,44,44,44,44,44,44,44,44,31
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,44,31
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,44,31
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,44,31
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,44,31
